,JSON Data
5789,"{""ip"":""104.21.51.133"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""California"",""city_name"":""San Francisco"",""latitude"":37.7757,""longitude"":-122.3952,""zip_code"":""94107"",""time_zone"":""-07:00"",""asn"":""13335"",""as"":""CloudFlare Inc."",""is_proxy"":false}"
5790,"{""ip"":""163.197.205.24"",""country_code"":""ZA"",""country_name"":""South Africa"",""region_name"":""Gauteng"",""city_name"":""Johannesburg"",""latitude"":-26.20225,""longitude"":28.04355,""zip_code"":""2041"",""time_zone"":""+02:00"",""asn"":""54600"",""as"":""Peg Tech Inc"",""is_proxy"":false}"
5791,"{""ip"":""103.83.81.152"",""country_code"":""IN"",""country_name"":""India"",""region_name"":""Karnataka"",""city_name"":""Bengaluru"",""latitude"":12.97623,""longitude"":77.60329,""zip_code"":""560018"",""time_zone"":""+05:30"",""asn"":""135822"",""as"":""OVI Hosting Pvt Ltd"",""is_proxy"":false}"
5792,"{""ip"":""31.31.205.163"",""country_code"":""RU"",""country_name"":""Russian Federation"",""region_name"":""Moskva"",""city_name"":""Moscow"",""latitude"":55.752259,""longitude"":37.61547,""zip_code"":""125476"",""time_zone"":""+03:00"",""asn"":""197695"",""as"":""Domain Names Registrar Reg.ru Ltd"",""is_proxy"":false}"
5793,"{""ip"":""37.235.32.227"",""country_code"":""ES"",""country_name"":""Spain"",""region_name"":""Andalucia"",""city_name"":""Sevilla"",""latitude"":37.382282,""longitude"":-5.975701,""zip_code"":""41740"",""time_zone"":""+01:00"",""asn"":""43160"",""as"":""Avatel Telecom SA"",""is_proxy"":false}"
5794,"{""ip"":""199.59.243.225"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Florida"",""city_name"":""Tampa"",""latitude"":27.943517,""longitude"":-82.510269,""zip_code"":""33609"",""time_zone"":""-04:00"",""asn"":""16509"",""as"":""Amazon.com Inc."",""is_proxy"":false}"
5795,"{""ip"":""92.222.148.199"",""country_code"":""FR"",""country_name"":""France"",""region_name"":""Hauts-de-France"",""city_name"":""Roubaix"",""latitude"":50.693712,""longitude"":3.174439,""zip_code"":""59689"",""time_zone"":""+01:00"",""asn"":""16276"",""as"":""OVH SAS"",""is_proxy"":false}"
5796,"{""ip"":""69.61.16.162"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Georgia"",""city_name"":""Atlanta"",""latitude"":33.753601,""longitude"":-84.390145,""zip_code"":""30303"",""time_zone"":""-04:00"",""asn"":""22653"",""as"":""Cyber Wurx LLC"",""is_proxy"":false}"
5797,"{""ip"":""207.35.62.104"",""country_code"":""CA"",""country_name"":""Canada"",""region_name"":""Quebec"",""city_name"":""Saint-Laurent"",""latitude"":45.498818,""longitude"":-73.738869,""zip_code"":""H4S 1K5"",""time_zone"":""-04:00"",""asn"":""577"",""as"":""Bell Canada"",""is_proxy"":false}"
5798,"{""ip"":""208.78.103.41"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Illinois"",""city_name"":""Chicago"",""latitude"":41.875772,""longitude"":-87.620606,""zip_code"":""60290"",""time_zone"":""-05:00"",""asn"":""19994"",""as"":""Rackspace Hosting"",""is_proxy"":false}"
5799,"{""ip"":""192.99.3.95"",""country_code"":""CA"",""country_name"":""Canada"",""region_name"":""Quebec"",""city_name"":""Montreal"",""latitude"":45.50884,""longitude"":-73.58781,""zip_code"":""H1A 0A1"",""time_zone"":""-04:00"",""asn"":""16276"",""as"":""OVH SAS"",""is_proxy"":false}"
5800,"{""ip"":""187.17.111.101"",""country_code"":""BR"",""country_name"":""Brazil"",""region_name"":""Sao Paulo"",""city_name"":""Sao Paulo"",""latitude"":-23.547121,""longitude"":-46.637186,""zip_code"":""01000-000"",""time_zone"":""-03:00"",""asn"":""7162"",""as"":""Latin American and Caribbean IP Address Regional Registry"",""is_proxy"":false}"
5801,"{""ip"":""161.97.82.224"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Hessen"",""city_name"":""Frankfurt am Main"",""latitude"":50.11088,""longitude"":8.681996,""zip_code"":""65931"",""time_zone"":""+01:00"",""asn"":""51167"",""as"":""Contabo GmbH"",""is_proxy"":false}"
5802,"{""ip"":""66.94.110.119"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""New York"",""city_name"":""New York City"",""latitude"":40.713192,""longitude"":-74.006065,""zip_code"":""10116"",""time_zone"":""-04:00"",""asn"":""40021"",""as"":""Nubes LLC"",""is_proxy"":false}"
5803,"{""ip"":""67.43.4.220"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Michigan"",""city_name"":""Lansing"",""latitude"":42.73328,""longitude"":-84.637765,""zip_code"":""48917"",""time_zone"":""-04:00"",""asn"":""32244"",""as"":""Liquid Web L.L.C"",""is_proxy"":false}"
5804,"{""ip"":""217.160.0.115"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Strang"",""latitude"":51.9687,""longitude"":8.75336,""zip_code"":""32791"",""time_zone"":""+01:00"",""asn"":""8560"",""as"":""IONOS SE"",""is_proxy"":false}"
5805,"{""ip"":""3.33.130.190"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Washington"",""city_name"":""Seattle"",""latitude"":47.6275,""longitude"":-122.3462,""zip_code"":""98109"",""time_zone"":""-07:00"",""asn"":""16509"",""as"":""Amazon.com Inc."",""is_proxy"":false}"
5806,"{""ip"":""192.185.141.200"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Georgia"",""city_name"":""Atlanta"",""latitude"":33.748795,""longitude"":-84.387543,""zip_code"":""30301"",""time_zone"":""-04:00"",""asn"":""19871"",""as"":""Network Solutions LLC"",""is_proxy"":false}"
5807,"{""ip"":""192.185.87.22"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Florida"",""city_name"":""Jacksonville"",""latitude"":30.332134,""longitude"":-81.655671,""zip_code"":""32099"",""time_zone"":""-04:00"",""asn"":""19871"",""as"":""Network Solutions LLC"",""is_proxy"":false}"
5808,"{""ip"":""94.130.32.206"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Sachsen"",""city_name"":""Falkenstein"",""latitude"":50.47785,""longitude"":12.371563,""zip_code"":""08223"",""time_zone"":""+01:00"",""asn"":""24940"",""as"":""Hetzner Online GmbH"",""is_proxy"":false}"
5809,"{""ip"":""15.197.142.173"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Washington"",""city_name"":""Seattle"",""latitude"":47.6275,""longitude"":-122.3462,""zip_code"":""98109"",""time_zone"":""-07:00"",""asn"":""16509"",""as"":""Amazon.com Inc."",""is_proxy"":false}"
5810,"{""ip"":""194.150.248.121"",""country_code"":""CH"",""country_name"":""Switzerland"",""region_name"":""Zurich"",""city_name"":""Wallisellen"",""latitude"":47.41499,""longitude"":8.59672,""zip_code"":""8304"",""time_zone"":""+01:00"",""asn"":""35206"",""as"":""NovaTrend Services GmbH"",""is_proxy"":false}"
5811,"{""ip"":""153.92.0.100"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""South Carolina"",""city_name"":""Greenville"",""latitude"":34.852741,""longitude"":-82.394135,""zip_code"":""29601"",""time_zone"":""-04:00"",""asn"":""204915"",""as"":""Hostinger International Limited"",""is_proxy"":false}"
5812,"{""ip"":""50.87.144.84"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Utah"",""city_name"":""Provo"",""latitude"":40.213911,""longitude"":-111.634071,""zip_code"":""84606"",""time_zone"":""-06:00"",""asn"":""46606"",""as"":""Unified Layer"",""is_proxy"":false}"
5813,"{""ip"":""185.199.220.65"",""country_code"":""GB"",""country_name"":""United Kingdom of Great Britain and Northern Ireland"",""region_name"":""England"",""city_name"":""Torquay"",""latitude"":50.46384,""longitude"":-3.51434,""zip_code"":""TQ1"",""time_zone"":""+00:00"",""asn"":""12488"",""as"":""Krystal Hosting Ltd"",""is_proxy"":false}"
5814,"{""ip"":""153.92.6.252"",""country_code"":""GB"",""country_name"":""United Kingdom of Great Britain and Northern Ireland"",""region_name"":""England"",""city_name"":""Manchester"",""latitude"":53.48095,""longitude"":-2.23743,""zip_code"":""M1"",""time_zone"":""+00:00"",""asn"":""47583"",""as"":""Hostinger International Limited"",""is_proxy"":false}"
5815,"{""ip"":""208.78.103.41"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Illinois"",""city_name"":""Chicago"",""latitude"":41.875772,""longitude"":-87.620606,""zip_code"":""60290"",""time_zone"":""-05:00"",""asn"":""19994"",""as"":""Rackspace Hosting"",""is_proxy"":false}"
5816,"{""ip"":""67.227.213.152"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Michigan"",""city_name"":""Lansing"",""latitude"":42.73328,""longitude"":-84.637765,""zip_code"":""48917"",""time_zone"":""-04:00"",""asn"":""32244"",""as"":""Liquid Web L.L.C"",""is_proxy"":false}"
5817,"{""ip"":""5.57.226.202"",""country_code"":""ES"",""country_name"":""Spain"",""region_name"":""Valenciana, Comunidad"",""city_name"":""Elda"",""latitude"":38.47783,""longitude"":-0.79157,""zip_code"":""03610"",""time_zone"":""+01:00"",""asn"":""29119"",""as"":""Aire Networks del Mediterraneo SL Unipersonal"",""is_proxy"":false}"
5818,"{""ip"":""173.254.105.174"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Utah"",""city_name"":""Provo"",""latitude"":40.213911,""longitude"":-111.634071,""zip_code"":""84606"",""time_zone"":""-06:00"",""asn"":""46606"",""as"":""Unified Layer"",""is_proxy"":false}"
5819,"{""ip"":""145.14.145.69"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Calle"",""latitude"":51.33501,""longitude"":8.21362,""zip_code"":""59872"",""time_zone"":""+01:00"",""asn"":""204915"",""as"":""Hostinger International Limited"",""is_proxy"":false}"
5820,"{""ip"":""192.185.4.78"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Georgia"",""city_name"":""Atlanta"",""latitude"":33.748795,""longitude"":-84.387543,""zip_code"":""30301"",""time_zone"":""-04:00"",""asn"":""19871"",""as"":""Network Solutions LLC"",""is_proxy"":false}"
5821,"{""ip"":""143.95.230.118"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Florida"",""city_name"":""Jacksonville"",""latitude"":30.1911,""longitude"":-81.4931,""zip_code"":""32256"",""time_zone"":""-04:00"",""asn"":""46606"",""as"":""Unified Layer"",""is_proxy"":false}"
5822,"{""ip"":""15.197.204.56"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Washington"",""city_name"":""Seattle"",""latitude"":47.6275,""longitude"":-122.3462,""zip_code"":""98109"",""time_zone"":""-07:00"",""asn"":""16509"",""as"":""Amazon.com Inc."",""is_proxy"":false}"
5823,"{""ip"":""145.14.145.69"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Calle"",""latitude"":51.33501,""longitude"":8.21362,""zip_code"":""59872"",""time_zone"":""+01:00"",""asn"":""204915"",""as"":""Hostinger International Limited"",""is_proxy"":false}"
5824,"{""ip"":""87.236.19.14"",""country_code"":""RU"",""country_name"":""Russian Federation"",""region_name"":""Sankt-Peterburg"",""city_name"":""Saint Petersburg"",""latitude"":59.89444,""longitude"":30.2642,""zip_code"":""199406"",""time_zone"":""+03:00"",""asn"":""198610"",""as"":""Beget LLC"",""is_proxy"":false}"
5825,"{""ip"":""154.37.40.76"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""California"",""city_name"":""San Jose"",""latitude"":37.229656,""longitude"":-121.786546,""zip_code"":""95119"",""time_zone"":""-07:00"",""asn"":""139646"",""as"":""Hong Kong Megalayer Technology Co. Limited"",""is_proxy"":false}"
5826,"{""ip"":""172.67.165.111"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""California"",""city_name"":""San Francisco"",""latitude"":37.7757,""longitude"":-122.3952,""zip_code"":""94107"",""time_zone"":""-07:00"",""asn"":""13335"",""as"":""CloudFlare Inc."",""is_proxy"":false}"
5827,"{""ip"":""145.14.145.31"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Calle"",""latitude"":51.33501,""longitude"":8.21362,""zip_code"":""59872"",""time_zone"":""+01:00"",""asn"":""204915"",""as"":""Hostinger International Limited"",""is_proxy"":false}"
5828,"{""ip"":""145.14.145.78"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Calle"",""latitude"":51.33501,""longitude"":8.21362,""zip_code"":""59872"",""time_zone"":""+01:00"",""asn"":""204915"",""as"":""Hostinger International Limited"",""is_proxy"":false}"
5829,"{""ip"":""5.2.85.126"",""country_code"":""TR"",""country_name"":""Turkey"",""region_name"":""Izmir"",""city_name"":""Izmir"",""latitude"":38.41273,""longitude"":27.13838,""zip_code"":""35240"",""time_zone"":""+03:00"",""asn"":""3188"",""as"":""Alastyr Telekomunikasyon A.S."",""is_proxy"":false}"
5830,"{""ip"":""52.117.52.70"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""California"",""city_name"":""San Jose"",""latitude"":37.33939,""longitude"":-121.89496,""zip_code"":""95101"",""time_zone"":""-07:00"",""asn"":""36351"",""as"":""SoftLayer Technologies Inc."",""is_proxy"":false}"
5831,"{""ip"":""15.197.148.33"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Washington"",""city_name"":""Seattle"",""latitude"":47.6275,""longitude"":-122.3462,""zip_code"":""98109"",""time_zone"":""-07:00"",""asn"":""16509"",""as"":""Amazon.com Inc."",""is_proxy"":false}"
5832,"{""ip"":""172.67.154.47"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""California"",""city_name"":""San Francisco"",""latitude"":37.7757,""longitude"":-122.3952,""zip_code"":""94107"",""time_zone"":""-07:00"",""asn"":""13335"",""as"":""CloudFlare Inc."",""is_proxy"":false}"
5833,"{""ip"":""51.83.232.154"",""country_code"":""PL"",""country_name"":""Poland"",""region_name"":""Mazowieckie"",""city_name"":""Warsaw"",""latitude"":52.22977,""longitude"":21.01178,""zip_code"":""05-077"",""time_zone"":""+01:00"",""asn"":""16276"",""as"":""OVH SAS"",""is_proxy"":false}"
5834,"{""ip"":""34.102.136.180"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Missouri"",""city_name"":""Kansas City"",""latitude"":39.09973,""longitude"":-94.57857,""zip_code"":""64101"",""time_zone"":""-05:00"",""asn"":""396982"",""as"":""Google LLC"",""is_proxy"":false}"
5835,"{""ip"":""74.119.239.234"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Massachusetts"",""city_name"":""Burlington"",""latitude"":42.50848,""longitude"":-71.201131,""zip_code"":""01803"",""time_zone"":""-04:00"",""asn"":""46606"",""as"":""Unified Layer"",""is_proxy"":false}"
5836,"{""ip"":""208.91.198.111"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Massachusetts"",""city_name"":""Burlington"",""latitude"":42.50848,""longitude"":-71.201131,""zip_code"":""01803"",""time_zone"":""-04:00"",""asn"":""46606"",""as"":""Unified Layer"",""is_proxy"":false}"
5837,"{""ip"":""192.254.235.136"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Utah"",""city_name"":""Provo"",""latitude"":40.233807,""longitude"":-111.658586,""zip_code"":""84601"",""time_zone"":""-06:00"",""asn"":""46606"",""as"":""Unified Layer"",""is_proxy"":false}"
5838,"{""ip"":""94.158.54.163"",""country_code"":""UZ"",""country_name"":""Uzbekistan"",""region_name"":""Toshkent"",""city_name"":""Tashkent"",""latitude"":41.26465,""longitude"":69.21627,""zip_code"":""100121"",""time_zone"":""+05:00"",""asn"":""43060"",""as"":""iPlus LLC"",""is_proxy"":false}"
5839,"{""ip"":""162.215.226.7"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Utah"",""city_name"":""Provo"",""latitude"":40.213911,""longitude"":-111.634071,""zip_code"":""84606"",""time_zone"":""-06:00"",""asn"":""46606"",""as"":""Unified Layer"",""is_proxy"":false}"
5840,"{""ip"":""87.236.19.14"",""country_code"":""RU"",""country_name"":""Russian Federation"",""region_name"":""Sankt-Peterburg"",""city_name"":""Saint Petersburg"",""latitude"":59.89444,""longitude"":30.2642,""zip_code"":""199406"",""time_zone"":""+03:00"",""asn"":""198610"",""as"":""Beget LLC"",""is_proxy"":false}"
5841,"{""ip"":""162.55.0.137"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Sachsen"",""city_name"":""Falkenstein"",""latitude"":50.47785,""longitude"":12.371563,""zip_code"":""08223"",""time_zone"":""+01:00"",""asn"":""24940"",""as"":""Hetzner Online GmbH"",""is_proxy"":false}"
5842,"{""ip"":""88.85.81.27"",""country_code"":""NL"",""country_name"":""Netherlands"",""region_name"":""Noord-Holland"",""city_name"":""Amsterdam"",""latitude"":52.378502,""longitude"":4.89998,""zip_code"":""1000"",""time_zone"":""+01:00"",""asn"":""35415"",""as"":""Webzilla B.V."",""is_proxy"":false}"
5843,"{""ip"":""41.185.8.150"",""country_code"":""ZA"",""country_name"":""South Africa"",""region_name"":""Western Cape"",""city_name"":""Cape Town"",""latitude"":-33.925552,""longitude"":18.422857,""zip_code"":""8160"",""time_zone"":""+02:00"",""asn"":""36943"",""as"":""ZA-1-GRID"",""is_proxy"":false}"
5844,"{""ip"":""162.55.0.137"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Sachsen"",""city_name"":""Falkenstein"",""latitude"":50.47785,""longitude"":12.371563,""zip_code"":""08223"",""time_zone"":""+01:00"",""asn"":""24940"",""as"":""Hetzner Online GmbH"",""is_proxy"":false}"
5845,"{""ip"":""162.255.119.196"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Georgia"",""city_name"":""Atlanta"",""latitude"":33.727293,""longitude"":-84.425378,""zip_code"":""30310"",""time_zone"":""-04:00"",""asn"":""22612"",""as"":""Namecheap Inc."",""is_proxy"":false}"
5846,"{""ip"":""186.202.149.193"",""country_code"":""BR"",""country_name"":""Brazil"",""region_name"":""Sao Paulo"",""city_name"":""Sao Paulo"",""latitude"":-23.547121,""longitude"":-46.637186,""zip_code"":""01000-000"",""time_zone"":""-03:00"",""asn"":""27715"",""as"":""Locaweb Servicos de Internet SA"",""is_proxy"":false}"
5847,"{""ip"":""45.130.41.254"",""country_code"":""RU"",""country_name"":""Russian Federation"",""region_name"":""Sankt-Peterburg"",""city_name"":""Saint Petersburg"",""latitude"":59.89444,""longitude"":30.2642,""zip_code"":""195112"",""time_zone"":""+03:00"",""asn"":""198610"",""as"":""Beget LLC"",""is_proxy"":false}"
5848,"{""ip"":""69.163.216.169"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""California"",""city_name"":""Brea"",""latitude"":33.93022,""longitude"":-117.88842,""zip_code"":""92821"",""time_zone"":""-07:00"",""asn"":""26347"",""as"":""New Dream Network LLC"",""is_proxy"":false}"
5849,"{""ip"":""116.0.21.74"",""country_code"":""AU"",""country_name"":""Australia"",""region_name"":""New South Wales"",""city_name"":""Sydney"",""latitude"":-33.86778,""longitude"":151.207052,""zip_code"":""2000"",""time_zone"":""+11:00"",""asn"":""38719"",""as"":""Dreamscape Networks Limited"",""is_proxy"":false}"
5850,"{""ip"":""200.71.220.137"",""country_code"":""CL"",""country_name"":""Chile"",""region_name"":""Region Metropolitana de Santiago"",""city_name"":""Santiago"",""latitude"":-33.426498,""longitude"":-70.566522,""zip_code"":""8320000"",""time_zone"":""-03:00"",""asn"":""20015"",""as"":""Latin American and Caribbean IP Address Regional Registry"",""is_proxy"":false}"
5851,"{""ip"":""199.201.89.127"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Michigan"",""city_name"":""Lansing"",""latitude"":42.73328,""longitude"":-84.637765,""zip_code"":""48917"",""time_zone"":""-04:00"",""asn"":""6188"",""as"":""Liquid Web L.L.C"",""is_proxy"":false}"
5852,"{""ip"":""199.34.228.77"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""California"",""city_name"":""Oakland"",""latitude"":37.81018,""longitude"":-122.269073,""zip_code"":""94612"",""time_zone"":""-07:00"",""asn"":""27647"",""as"":""Weebly Inc."",""is_proxy"":false}"
5853,"{""ip"":""217.160.0.198"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Strang"",""latitude"":51.9687,""longitude"":8.75336,""zip_code"":""32791"",""time_zone"":""+01:00"",""asn"":""8560"",""as"":""IONOS SE"",""is_proxy"":true}"
5854,"{""ip"":""3.33.130.190"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Washington"",""city_name"":""Seattle"",""latitude"":47.6275,""longitude"":-122.3462,""zip_code"":""98109"",""time_zone"":""-07:00"",""asn"":""16509"",""as"":""Amazon.com Inc."",""is_proxy"":false}"
5855,"{""ip"":""162.0.232.59"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Georgia"",""city_name"":""Atlanta"",""latitude"":33.727293,""longitude"":-84.425378,""zip_code"":""30310"",""time_zone"":""-04:00"",""asn"":""22612"",""as"":""Namecheap Inc."",""is_proxy"":false}"
5856,"{""ip"":""91.121.245.251"",""country_code"":""FR"",""country_name"":""France"",""region_name"":""Hauts-de-France"",""city_name"":""Roubaix"",""latitude"":50.693712,""longitude"":3.174439,""zip_code"":""59100"",""time_zone"":""+01:00"",""asn"":""16276"",""as"":""OVH SAS"",""is_proxy"":false}"
5857,"{""ip"":""172.67.209.43"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""California"",""city_name"":""San Francisco"",""latitude"":37.7757,""longitude"":-122.3952,""zip_code"":""94107"",""time_zone"":""-07:00"",""asn"":""13335"",""as"":""CloudFlare Inc."",""is_proxy"":false}"
5858,"{""ip"":""45.60.22.79"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Texas"",""city_name"":""Dallas"",""latitude"":32.78306,""longitude"":-96.8065,""zip_code"":""75201"",""time_zone"":""-05:00"",""asn"":""19551"",""as"":""Incapsula Inc"",""is_proxy"":false}"
5859,"{""ip"":""170.10.164.200"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Florida"",""city_name"":""Coral Springs"",""latitude"":26.24183,""longitude"":-80.25799,""zip_code"":""33071"",""time_zone"":""-04:00"",""asn"":""32748"",""as"":""SteadFast"",""is_proxy"":false}"
5860,"{""ip"":""13.248.169.48"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Washington"",""city_name"":""Seattle"",""latitude"":47.6275,""longitude"":-122.3462,""zip_code"":""98109"",""time_zone"":""-07:00"",""asn"":""16509"",""as"":""Amazon.com Inc."",""is_proxy"":false}"
5861,"{""ip"":""145.14.144.140"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Calle"",""latitude"":51.33501,""longitude"":8.21362,""zip_code"":""59872"",""time_zone"":""+01:00"",""asn"":""204915"",""as"":""Hostinger International Limited"",""is_proxy"":false}"
5862,"{""ip"":""145.14.145.69"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Calle"",""latitude"":51.33501,""longitude"":8.21362,""zip_code"":""59872"",""time_zone"":""+01:00"",""asn"":""204915"",""as"":""Hostinger International Limited"",""is_proxy"":false}"
5863,"{""ip"":""198.58.94.90"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Florida"",""city_name"":""Jacksonville"",""latitude"":30.1911,""longitude"":-81.4931,""zip_code"":""32256"",""time_zone"":""-04:00"",""asn"":""46606"",""as"":""Unified Layer"",""is_proxy"":false}"
5864,"{""ip"":""85.159.66.93"",""country_code"":""TR"",""country_name"":""Turkey"",""region_name"":""Istanbul"",""city_name"":""Istanbul"",""latitude"":41.01384,""longitude"":28.94966,""zip_code"":""34080"",""time_zone"":""+03:00"",""asn"":""34619"",""as"":""Cizgi Telekomunikasyon Anonim Sirketi"",""is_proxy"":false}"
5865,"{""ip"":""198.57.247.144"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Utah"",""city_name"":""Provo"",""latitude"":40.213911,""longitude"":-111.634071,""zip_code"":""84606"",""time_zone"":""-06:00"",""asn"":""46606"",""as"":""Unified Layer"",""is_proxy"":false}"
5866,"{""ip"":""52.71.57.184"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Virginia"",""city_name"":""Ashburn"",""latitude"":39.039474,""longitude"":-77.491809,""zip_code"":""20146"",""time_zone"":""-04:00"",""asn"":""14618"",""as"":""Amazon.com Inc."",""is_proxy"":false}"
5867,"{""ip"":""69.49.235.127"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Florida"",""city_name"":""Jacksonville"",""latitude"":30.1911,""longitude"":-81.4931,""zip_code"":""32256"",""time_zone"":""-04:00"",""asn"":""19871"",""as"":""Network Solutions LLC"",""is_proxy"":false}"
5868,"{""ip"":""65.109.175.203"",""country_code"":""FI"",""country_name"":""Finland"",""region_name"":""Uusimaa"",""city_name"":""Helsinki"",""latitude"":60.16952,""longitude"":24.93545,""zip_code"":""00100"",""time_zone"":""+02:00"",""asn"":""24940"",""as"":""Hetzner Online GmbH"",""is_proxy"":false}"
5869,"{""ip"":""89.163.146.123"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Dusseldorf"",""latitude"":51.221533,""longitude"":6.77617,""zip_code"":""40213"",""time_zone"":""+01:00"",""asn"":""24961"",""as"":""myLoc managed IT AG"",""is_proxy"":false}"
5870,"{""ip"":""222.186.175.110"",""country_code"":""CN"",""country_name"":""China"",""region_name"":""Jiangsu"",""city_name"":""Zhenjiang"",""latitude"":32.209364,""longitude"":119.434373,""zip_code"":""212004"",""time_zone"":""+08:00"",""asn"":""4134"",""as"":""Asia Pacific Network Information Centre"",""is_proxy"":false}"
5871,"{""ip"":""145.14.145.78"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Calle"",""latitude"":51.33501,""longitude"":8.21362,""zip_code"":""59872"",""time_zone"":""+01:00"",""asn"":""204915"",""as"":""Hostinger International Limited"",""is_proxy"":false}"
5872,"{""ip"":""5.252.229.156"",""country_code"":""PL"",""country_name"":""Poland"",""region_name"":""Wielkopolskie"",""city_name"":""Poznan"",""latitude"":52.406914,""longitude"":16.93,""zip_code"":""61-897"",""time_zone"":""+01:00"",""asn"":""203417"",""as"":""LH.pl Sp. z o.o."",""is_proxy"":false}"
5873,"{""ip"":""92.204.137.215"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Virginia"",""city_name"":""Warrenton"",""latitude"":38.71345,""longitude"":-77.79527,""zip_code"":""20186"",""time_zone"":""-04:00"",""asn"":""398108"",""as"":""GoDaddy.com LLC"",""is_proxy"":false}"
5874,"{""ip"":""104.16.96.96"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""California"",""city_name"":""San Francisco"",""latitude"":37.7757,""longitude"":-122.3952,""zip_code"":""94107"",""time_zone"":""-07:00"",""asn"":""13335"",""as"":""CloudFlare Inc."",""is_proxy"":false}"
5875,"{""ip"":""15.197.130.221"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Washington"",""city_name"":""Seattle"",""latitude"":47.6275,""longitude"":-122.3462,""zip_code"":""98109"",""time_zone"":""-07:00"",""asn"":""16509"",""as"":""Amazon.com Inc."",""is_proxy"":false}"
5876,"{""ip"":""69.163.185.106"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""California"",""city_name"":""Brea"",""latitude"":33.93022,""longitude"":-117.88842,""zip_code"":""92821"",""time_zone"":""-07:00"",""asn"":""26347"",""as"":""New Dream Network LLC"",""is_proxy"":false}"
